player_id,name,overall,club,latest_source_edition,reason
245308,M. Nérez,80,,21.0,Previous combined catalog retained a player absent from FC24
245309,E. Schetino,80,,21.0,Previous combined catalog retained a player absent from FC24
159147,L. Perrin,80,Saint-Étienne,20.0,Previous combined catalog retained a player absent from FC24
171919,Naldo,80,Monaco,20.0,Previous combined catalog retained a player absent from FC24
199556,M. Verratti,87,Paris Saint Germain,23.0,Previous combined catalog retained a player absent from FC24
10535,Xavi,86,FC Barcelona,15.0,Previous combined catalog retained a player absent from FC24
195864,P. Pogba,85,Juventus,23.0,Previous combined catalog retained a player absent from FC24
184267,Y. Brahimi,85,Porto,19.0,Previous combined catalog retained a player absent from FC24
173210,C. Marchisio,85,Juventus,18.0,Previous combined catalog retained a player absent from FC24
143076,A. Gómez,84,Sevilla,23.0,Previous combined catalog retained a player absent from FC24
190286,Canales,84,Real Betis,23.0,Previous combined catalog retained a player absent from FC24
190483,Douglas Costa,84,Juventus,21.0,Previous combined catalog retained a player absent from FC24
45197,Xabi Alonso,84,FC Bayern München,17.0,Previous combined catalog retained a player absent from FC24
168542,David Silva,83,Real Sociedad,23.0,Previous combined catalog retained a player absent from FC24
135507,Fernandinho,83,Manchester City,22.0,Previous combined catalog retained a player absent from FC24
187961,Paulinho,83,Al Ahli Jeddah,22.0,Previous combined catalog retained a player absent from FC24
169195,Renato Augusto,83,Beijing Guoan,21.0,Previous combined catalog retained a player absent from FC24
20289,Y. Touré,83,Manchester City,18.0,Previous combined catalog retained a player absent from FC24
139869,W. Sneijder,83,Nice,18.0,Previous combined catalog retained a player absent from FC24
177388,D. Payet,82,Olympique de Marseille,23.0,Previous combined catalog retained a player absent from FC24
189242,Coutinho,82,Aston Villa,23.0,Previous combined catalog retained a player absent from FC24
180206,M. Pjanić,82,Beşiktaş,22.0,Previous combined catalog retained a player absent from FC24
53302,D. De Rossi,82,Boca Juniors,20.0,Previous combined catalog retained a player absent from FC24
158963,L. Biglia,82,Milan,23.0,Previous combined catalog retained a player absent from FC24
214047,M. Uribe,81,Porto,23.0,Previous combined catalog retained a player absent from FC24
176266,Lucas Leiva,81,Lazio,22.0,Previous combined catalog retained a player absent from FC24
181872,A. Vidal,81,Inter,22.0,Previous combined catalog retained a player absent from FC24
187754,Marlos,81,Shakhtar Donetsk,22.0,Previous combined catalog retained a player absent from FC24
177610,Javi Martínez,81,FC Bayern München,21.0,Previous combined catalog retained a player absent from FC24
179846,S. Khedira,81,Juventus,21.0,Previous combined catalog retained a player absent from FC24
162895,Cesc Fàbregas,81,Monaco,23.0,Previous combined catalog retained a player absent from FC24
177600,Beñat,81,Athletic Club,20.0,Previous combined catalog retained a player absent from FC24
184144,N. Gaitán,81,Chicago Fire,23.0,Previous combined catalog retained a player absent from FC24
157960,Manuel Fernandes,81,Lokomotiv Moskva,22.0,Previous combined catalog retained a player absent from FC24
49370,T. Motta,81,Paris Saint Germain,18.0,Previous combined catalog retained a player absent from FC24
146954,Gabi,81,Atlético Madrid,18.0,Previous combined catalog retained a player absent from FC24
161648,H. Ben Arfa,81,Paris Saint Germain,18.0,Previous combined catalog retained a player absent from FC24
4098,Tiago,81,Atlético Madrid,17.0,Previous combined catalog retained a player absent from FC24
13743,S. Gerrard,81,LA Galaxy,17.0,Previous combined catalog retained a player absent from FC24
156142,R. Eremenko,81,CSKA Moskva,17.0,Previous combined catalog retained a player absent from FC24
176949,B. Ruíz,81,Sporting CP,18.0,Previous combined catalog retained a player absent from FC24
181019,Éverton Ribeiro,81,,16.0,Previous combined catalog retained a player absent from FC24
45119,Mikel Arteta,81,Arsenal,16.0,Previous combined catalog retained a player absent from FC24
45574,R. van der Vaart,81,Hamburger SV,19.0,Previous combined catalog retained a player absent from FC24
171877,M. Hamšík,80,Trabzonspor,23.0,Previous combined catalog retained a player absent from FC24
199042,C. Aránguiz,80,Bayer 04 Leverkusen,23.0,Previous combined catalog retained a player absent from FC24
199914,Allan,80,Everton,23.0,Previous combined catalog retained a player absent from FC24
222716,Everton,80,Benfica,22.0,Previous combined catalog retained a player absent from FC24
178518,R. Nainggolan,80,Antwerp,23.0,Previous combined catalog retained a player absent from FC24
190972,E. Salvio,80,Boca Juniors,22.0,Previous combined catalog retained a player absent from FC24
201400,Rafinha,80,Paris Saint Germain,22.0,Previous combined catalog retained a player absent from FC24
203980,K. Fortounis,80,Olympiakos Piraeus,22.0,Previous combined catalog retained a player absent from FC24
208808,Q. Promes,80,Spartak Moskva,22.0,Previous combined catalog retained a player absent from FC24
9014,A. Robben,80,FC Groningen,21.0,Previous combined catalog retained a player absent from FC24
184431,S. Giovinco,80,Al Hilal,21.0,Previous combined catalog retained a player absent from FC24
184942,Giuliano,80,Al Nassr,21.0,Previous combined catalog retained a player absent from FC24
185221,Luiz Gustavo,80,Fenerbahçe,23.0,Previous combined catalog retained a player absent from FC24
245300,M. Baldona,80,,21.0,Previous combined catalog retained a player absent from FC24
245304,S. Ardero,80,,21.0,Previous combined catalog retained a player absent from FC24
245313,J. Sildero,80,,21.0,Previous combined catalog retained a player absent from FC24
121944,B. Schweinsteiger,80,Chicago Fire,20.0,Previous combined catalog retained a player absent from FC24
147782,I. Denisov,80,Lokomotiv Moskva,19.0,Previous combined catalog retained a player absent from FC24
163711,L. Diarra,80,Paris Saint Germain,19.0,Previous combined catalog retained a player absent from FC24
187735,A. Dzagoev,80,CSKA Moskva,22.0,Previous combined catalog retained a player absent from FC24
187688,Ganso,80,Sevilla,19.0,Previous combined catalog retained a player absent from FC24
21146,M. Carrick,80,Manchester United,18.0,Previous combined catalog retained a player absent from FC24
124635,M. Topal,80,Fenerbahçe,22.0,Previous combined catalog retained a player absent from FC24
153079,S. Agüero,87,FC Barcelona,22.0,Previous combined catalog retained a player absent from FC24
176580,L. Suárez,84,Nacional,23.0,Previous combined catalog retained a player absent from FC24
183277,E. Hazard,84,Real Madrid,23.0,Previous combined catalog retained a player absent from FC24
200647,J. Iličić,84,Atalanta,22.0,Previous combined catalog retained a player absent from FC24
181783,M. Mandžukić,84,Juventus,20.0,Previous combined catalog retained a player absent from FC24
176769,Jonas,84,Benfica,19.0,Previous combined catalog retained a player absent from FC24
196144,J. Martínez,84,Atlético Madrid,20.0,Previous combined catalog retained a player absent from FC24
41236,Z. Ibrahimović,82,Milan,23.0,Previous combined catalog retained a player absent from FC24
106231,Aduriz,82,Athletic Club,20.0,Previous combined catalog retained a player absent from FC24
186627,M. Balotelli,82,Brescia,23.0,Previous combined catalog retained a player absent from FC24
173731,G. Bale,81,Los Angeles FC,23.0,Previous combined catalog retained a player absent from FC24
124375,B. Yılmaz,81,Lille,23.0,Previous combined catalog retained a player absent from FC24
153244,A. Gignac,81,Tigres UANL,22.0,Previous combined catalog retained a player absent from FC24
167664,G. Higuaín,81,Inter Miami,23.0,Previous combined catalog retained a player absent from FC24
198710,J. Rodríguez,81,Everton,22.0,Previous combined catalog retained a player absent from FC24
200454,Paco Alcácer,81,Villarreal,22.0,Previous combined catalog retained a player absent from FC24
150418,M. Gómez,81,VfB Stuttgart,20.0,Previous combined catalog retained a player absent from FC24
9676,S. Eto'o,81,Antalyaspor,18.0,Previous combined catalog retained a player absent from FC24
31432,D. Drogba,81,CF Montréal,17.0,Previous combined catalog retained a player absent from FC24
148803,K. Huntelaar,81,Schalke 04,21.0,Previous combined catalog retained a player absent from FC24
11141,M. Klose,81,Lazio,16.0,Previous combined catalog retained a player absent from FC24
30110,D. Berbatov,81,PAOK,16.0,Previous combined catalog retained a player absent from FC24
193983,A. Delort,80,Nice,23.0,Previous combined catalog retained a player absent from FC24
200949,Lucas Moura,80,Tottenham Hotspur,23.0,Previous combined catalog retained a player absent from FC24
204399,E. Zahavi,80,PSV,22.0,Previous combined catalog retained a player absent from FC24
223816,J. Rodríguez,80,Cruz Azul,22.0,Previous combined catalog retained a player absent from FC24
179844,Diego Costa,80,Atlético Madrid,23.0,Previous combined catalog retained a player absent from FC24
189362,Hulk,80,Shanghai Port,21.0,Previous combined catalog retained a player absent from FC24
245305,L. Dálves,80,,21.0,Previous combined catalog retained a player absent from FC24
251700,S. Mandíquez,80,,21.0,Previous combined catalog retained a player absent from FC24
212623,Santi Mina,80,Celta de Vigo,22.0,Previous combined catalog retained a player absent from FC24
54050,W. Rooney,80,DC United,21.0,Previous combined catalog retained a player absent from FC24
164029,Charles,80,SD Eibar,20.0,Previous combined catalog retained a player absent from FC24
183900,D. Perotti,80,Roma,20.0,Previous combined catalog retained a player absent from FC24
187491,F. Smolov,80,Lokomotiv Moskva,22.0,Previous combined catalog retained a player absent from FC24
202685,S. Zaza,80,Torino,22.0,Previous combined catalog retained a player absent from FC24
49369,Fernando Torres,80,Sagan Tosu,19.0,Previous combined catalog retained a player absent from FC24
171833,D. Sturridge,80,Liverpool,19.0,Previous combined catalog retained a player absent from FC24
180175,Alexandre Pato,80,Tianjin Quanjian FC,23.0,Previous combined catalog retained a player absent from FC24
189354,Susaeta,80,Athletic Club,19.0,Previous combined catalog retained a player absent from FC24
50542,J. Defoe,80,AFC Bournemouth,22.0,Previous combined catalog retained a player absent from FC24
162369,V. Ibišević,80,Hertha BSC,21.0,Previous combined catalog retained a player absent from FC24
202515,Jesé,80,Paris Saint Germain,23.0,Previous combined catalog retained a player absent from FC24
330,R. Keane,80,LA Galaxy,17.0,Previous combined catalog retained a player absent from FC24
1238,F. Totti,80,Roma,17.0,Previous combined catalog retained a player absent from FC24
186524,F. Đorđević,80,Lazio,21.0,Previous combined catalog retained a player absent from FC24
199835,E. Emenike,80,Fenerbahçe,18.0,Previous combined catalog retained a player absent from FC24
177934,S. Sam,80,Schalke 04,21.0,Previous combined catalog retained a player absent from FC24
178393,A. Cerci,80,Atlético Madrid,20.0,Previous combined catalog retained a player absent from FC24
177134,D. Ba,80,Beşiktaş,21.0,Previous combined catalog retained a player absent from FC24
209097,O. Cardosa,80,,15.0,Previous combined catalog retained a player absent from FC24
182212,A. Modeste,79,Borussia Dortmund,23.0,Previous combined catalog retained a player absent from FC24
199254,João Pedro,79,Fenerbahçe,23.0,Previous combined catalog retained a player absent from FC24
156616,F. Ribéry,79,Salernitana,23.0,Previous combined catalog retained a player absent from FC24
159145,B. Gomis,79,Al Hilal,23.0,Previous combined catalog retained a player absent from FC24
192064,Gao Late,79,Guangzhou Evergrande,22.0,Previous combined catalog retained a player absent from FC24
194209,Y. El Arabi,79,Olympiakos Piraeus,22.0,Previous combined catalog retained a player absent from FC24
178311,Éder,79,Jiangsu Suning,21.0,Previous combined catalog retained a player absent from FC24
188081,Alex Teixeira,79,Jiangsu Suning,22.0,Previous combined catalog retained a player absent from FC24
199416,Ibai Gómez,79,Athletic Club,21.0,Previous combined catalog retained a player absent from FC24
208498,M. Dabbur,79,TSG Hoffenheim,23.0,Previous combined catalog retained a player absent from FC24
227536,M. Marega,79,Porto,23.0,Previous combined catalog retained a player absent from FC24
