source_fifa_version,source_record_kind,player_id,name,overall,position,secondary_positions,age,nationality,club,league,preferred_foot,pace,shooting,passing,dribbling,defending,physical,image_url,auction_group,rating_tier,base_price_cr
24,REGULAR_CAREER,247635,K. Kvaratskhelia,86,LW,RW,22,Georgia,Napoli,Serie A,Right,84,80,81,87,41,71,,ATT,STRONG,5
24,REGULAR_CAREER,235243,M. de Ligt,86,CB,,23,Netherlands,FC Bayern München,Bundesliga,Right,66,61,64,68,85,86,,DEF,STRONG,5
24,REGULAR_CAREER,224232,N. Barella,86,CM,,26,Italy,Inter,Serie A,Right,78,78,82,85,78,80,,MID,STRONG,5
24,REGULAR_CAREER,215914,N. Kanté,86,CDM,CM,32,France,Al Ittihad,Pro League,Right,69,65,73,80,85,77,,MID,STRONG,5
24,REGULAR_CAREER,231443,O. Dembélé,86,RW,LW,26,France,Paris Saint Germain,Ligue 1,Left,93,77,81,87,36,57,,ATT,STRONG,5
24,REGULAR_CAREER,211110,P. Dybala,86,CF,CAM,29,Argentina,Roma,Serie A,Left,80,85,85,90,40,60,,ATT,STRONG,5
24,REGULAR_CAREER,189513,Parejo,86,CM,CDM,34,Spain,Villarreal,La Liga,Right,49,83,90,80,73,69,,MID,STRONG,5
24,REGULAR_CAREER,251854,Pedri,86,CM,,20,Spain,FC Barcelona,La Liga,Right,78,69,82,88,70,74,,MID,STRONG,5
24,REGULAR_CAREER,253163,R. Araujo,86,CB,RB,24,Uruguay,FC Barcelona,La Liga,Right,79,51,65,62,86,84,,DEF,STRONG,5
24,REGULAR_CAREER,204485,R. Mahrez,86,RM,RW,32,Algeria,Al Ahli Jeddah,Pro League,Left,79,81,81,89,38,60,,MID,STRONG,5
24,REGULAR_CAREER,241721,Rafael Leão,86,LW,"CF, ST",24,Portugal,Milan,Serie A,Right,93,80,75,87,27,76,,ATT,STRONG,5
24,REGULAR_CAREER,208722,S. Mané,86,CF,"LM, ST",31,Senegal,Al Nassr,Pro League,Right,85,83,79,87,44,74,,ATT,STRONG,5
24,REGULAR_CAREER,223848,S. Milinković-Savić,86,CM,,28,Serbia,Al Hilal,Pro League,Right,68,80,82,82,79,86,,MID,STRONG,5
24,REGULAR_CAREER,241096,S. Tonali,86,CDM,CM,23,Italy,Newcastle United,Premier League,Right,84,74,81,81,82,84,,MID,STRONG,5
24,REGULAR_CAREER,231281,T. Alexander-Arnold,86,RB,,24,England,Liverpool,Premier League,Right,76,69,90,79,80,73,,DEF,STRONG,5
24,REGULAR_CAREER,182521,T. Kroos,86,CM,CDM,33,Germany,Real Madrid,La Liga,Right,51,80,90,81,70,71,,MID,STRONG,5
24,REGULAR_CAREER,186153,W. Szczęsny,86,GK,,33,Poland,Juventus,Serie A,Right,,,,,,,,GK,STRONG,5
24,REGULAR_CAREER,240130,Éder Militão,86,CB,,25,Brazil,Real Madrid,La Liga,Right,85,50,69,71,86,82,,DEF,STRONG,5
24,REGULAR_CAREER,186942,İ. Gündoğan,86,CM,CDM,32,Germany,FC Barcelona,La Liga,Right,62,81,84,86,72,73,,MID,STRONG,5
24,REGULAR_CAREER,237383,A. Bastoni,85,CB,,24,Italy,Inter,Serie A,Left,73,35,72,73,86,83,,DEF,STRONG,5
24,REGULAR_CAREER,212218,A. Laporte,85,CB,,29,Spain,Al Nassr,Pro League,Left,61,50,73,69,86,78,,DEF,STRONG,5
24,REGULAR_CAREER,226753,A. Onana,85,GK,,27,Cameroon,Manchester United,Premier League,Right,,,,,,,,GK,STRONG,5
24,REGULAR_CAREER,205452,A. Rüdiger,85,CB,,30,Germany,Real Madrid,La Liga,Right,82,54,71,66,84,86,,DEF,STRONG,5
24,REGULAR_CAREER,192387,C. Immobile,85,ST,,33,Italy,Lazio,Serie A,Right,85,87,68,78,39,74,,ATT,STRONG,5
24,REGULAR_CAREER,197445,D. Alaba,85,CB,LB,31,Austria,Real Madrid,La Liga,Left,79,71,83,80,85,77,,DEF,STRONG,5
24,REGULAR_CAREER,210935,D. Berardi,85,RW,RM,28,Italy,Sassuolo,Serie A,Left,82,83,81,87,36,72,,ATT,STRONG,5
24,REGULAR_CAREER,234378,D. Rice,85,CDM,CM,24,England,Arsenal,Premier League,Right,71,65,75,77,83,83,,MID,STRONG,5
24,REGULAR_CAREER,224458,Diogo Jota,85,CF,LW,26,Portugal,Liverpool,Premier League,Right,82,82,75,85,57,77,,ATT,STRONG,5
24,REGULAR_CAREER,202811,E. Martínez,85,GK,,30,Argentina,Aston Villa,Premier League,Right,,,,,,,,GK,STRONG,5
24,REGULAR_CAREER,256630,F. Wirtz,85,CAM,CM,20,Germany,Bayer 04 Leverkusen,Bundesliga,Right,74,76,83,87,52,63,,MID,STRONG,5
24,REGULAR_CAREER,217870,G. Di Lorenzo,85,RB,,29,Italy,Napoli,Serie A,Right,85,67,75,79,82,82,,DEF,STRONG,5
24,REGULAR_CAREER,208128,H. Çalhanoğlu,85,CM,CDM,29,Turkey,Inter,Serie A,Right,67,80,86,85,70,66,,MID,STRONG,5
24,REGULAR_CAREER,192629,Iago Aspas,85,ST,,35,Spain,Celta de Vigo,La Liga,Left,81,85,79,86,35,64,,ATT,STRONG,5
24,REGULAR_CAREER,206517,J. Grealish,85,LW,LM,27,England,Manchester City,Premier League,Right,76,76,84,88,53,73,,ATT,STRONG,5
24,REGULAR_CAREER,241486,J. Koundé,85,CB,RB,24,France,FC Barcelona,La Liga,Right,84,45,68,75,86,80,,DEF,STRONG,5
24,REGULAR_CAREER,203574,J. Stones,85,CB,RB,29,England,Manchester City,Premier League,Right,72,52,75,77,85,77,,DEF,STRONG,5
24,REGULAR_CAREER,213345,K. Coman,85,LM,RM,27,France,FC Bayern München,Bundesliga,Right,89,76,79,87,30,62,,MID,STRONG,5
24,REGULAR_CAREER,193041,K. Navas,85,GK,,36,Costa Rica,Paris Saint Germain,Ligue 1,Right,,,,,,,,GK,STRONG,5
24,REGULAR_CAREER,188943,K. Trapp,85,GK,,32,Germany,Eintracht Frankfurt,Bundesliga,Right,,,,,,,,GK,STRONG,5
24,REGULAR_CAREER,186345,K. Trippier,85,RB,,32,England,Newcastle United,Premier League,Right,68,65,86,79,82,72,,DEF,STRONG,5
24,REGULAR_CAREER,209658,L. Goretzka,85,CM,CDM,28,Germany,FC Bayern München,Bundesliga,Right,78,81,81,83,80,86,,MID,STRONG,5
24,REGULAR_CAREER,224334,M. Acuña,85,LB,LM,31,Argentina,Sevilla,La Liga,Left,75,74,83,83,81,84,,DEF,STRONG,5
24,REGULAR_CAREER,231677,M. Rashford,85,LW,"LM, ST",25,England,Manchester United,Premier League,Right,90,86,78,84,42,74,,ATT,STRONG,5
24,REGULAR_CAREER,237692,P. Foden,85,LW,RW,23,England,Manchester City,Premier League,Left,81,79,82,88,57,60,,ATT,STRONG,5
24,REGULAR_CAREER,201535,R. Varane,85,CB,,30,France,Manchester United,Premier League,Right,79,49,64,67,86,78,,DEF,STRONG,5
24,REGULAR_CAREER,243812,Rodrygo,85,RW,"LW, ST",22,Brazil,Real Madrid,La Liga,Right,88,81,79,86,31,62,,ATT,STRONG,5
24,REGULAR_CAREER,232656,T. Hernández,85,LB,LM,25,France,Milan,Serie A,Left,93,71,76,81,78,84,,DEF,STRONG,5
24,REGULAR_CAREER,209989,T. Partey,85,CDM,CM,30,Ghana,Arsenal,Premier League,Right,68,71,82,80,81,82,,MID,STRONG,5
24,REGULAR_CAREER,209981,Y. Bounou,85,GK,,32,Morocco,Al Hilal,Pro League,Left,,,,,,,,GK,STRONG,5
24,REGULAR_CAREER,235212,A. Hakimi,84,RB,RWB,24,Morocco,Paris Saint Germain,Ligue 1,Right,92,75,80,80,75,78,,DEF,STRONG,5
24,REGULAR_CAREER,210008,A. Rabiot,84,CM,LM,28,France,Juventus,Serie A,Left,78,76,80,80,82,84,,MID,STRONG,5
24,REGULAR_CAREER,233934,A. Ramsdale,84,GK,,25,England,Arsenal,Premier League,Right,,,,,,,,GK,STRONG,5
24,REGULAR_CAREER,241637,A. Tchouaméni,84,CDM,CM,23,France,Real Madrid,La Liga,Right,73,69,79,78,81,81,,MID,STRONG,5
24,REGULAR_CAREER,239580,Bremer,84,CB,,26,Brazil,Juventus,Serie A,Right,80,50,56,65,85,83,,DEF,STRONG,5
24,REGULAR_CAREER,247851,Bruno Guimarães,84,CM,CDM,25,Brazil,Newcastle United,Premier League,Right,71,74,81,84,80,81,,MID,STRONG,5
24,REGULAR_CAREER,189881,C. Smalling,84,CB,,33,England,Roma,Serie A,Right,62,47,58,62,87,82,,DEF,STRONG,5
24,REGULAR_CAREER,235805,F. Chiesa,84,LM,"LW, RW",25,Italy,Juventus,Serie A,Right,91,82,76,86,53,75,,MID,STRONG,5
24,REGULAR_CAREER,232756,F. Tomori,84,CB,,25,England,Milan,Serie A,Right,86,40,59,66,86,82,,DEF,STRONG,5
24,REGULAR_CAREER,209499,Fabinho,84,CDM,,29,Brazil,Al Ittihad,Pro League,Right,59,69,78,77,82,82,,MID,STRONG,5
24,REGULAR_CAREER,232580,Gabriel,84,CB,,25,Brazil,Arsenal,Premier League,Left,70,41,62,60,85,82,,DEF,STRONG,5
24,REGULAR_CAREER,230666,Gabriel Jesus,84,ST,RW,26,Brazil,Arsenal,Premier League,Right,83,82,75,88,40,77,,ATT,STRONG,5
24,REGULAR_CAREER,251566,Gabriel Martinelli,84,LW,LM,22,Brazil,Arsenal,Premier League,Right,89,78,76,86,46,72,,ATT,STRONG,5
24,REGULAR_CAREER,210035,Grimaldo,84,LWB,LM,27,Spain,Bayer 04 Leverkusen,Bundesliga,Left,87,69,83,84,76,72,,DEF,STRONG,5
24,REGULAR_CAREER,226754,I. Bennacer,84,CDM,"CM, CAM",25,Algeria,Milan,Serie A,Left,80,72,81,86,79,78,,MID,STRONG,5
24,REGULAR_CAREER,212194,J. Brandt,84,CAM,"RM, CM",27,Germany,Borussia Dortmund,Bundesliga,Right,71,80,84,86,51,70,,MID,STRONG,5
24,REGULAR_CAREER,220697,J. Maddison,84,CAM,"RM, CM",26,England,Tottenham Hotspur,Premier League,Right,71,81,86,86,54,63,,MID,STRONG,5
24,REGULAR_CAREER,192984,K. Casteels,84,GK,,31,Belgium,VfL Wolfsburg,Bundesliga,Left,,,,,,,,GK,STRONG,5
24,REGULAR_CAREER,201024,K. Koulibaly,84,CB,,32,Senegal,Al Hilal,Pro League,Right,76,48,63,68,84,83,,DEF,STRONG,5
24,REGULAR_CAREER,188377,K. Walker,84,RB,,33,England,Manchester City,Premier League,Right,90,63,77,78,79,81,,DEF,STRONG,5
24,REGULAR_CAREER,237086,Kim Min Jae,84,CB,,26,Korea Republic,FC Bayern München,Bundesliga,Right,80,33,58,64,85,84,,DEF,STRONG,5
24,REGULAR_CAREER,193747,Koke,84,CDM,CM,31,Spain,Atlético Madrid,La Liga,Right,69,72,85,79,79,78,,MID,STRONG,5
24,REGULAR_CAREER,241084,L. Díaz,84,LW,LM,26,Colombia,Liverpool,Premier League,Right,91,81,75,87,34,74,,ATT,STRONG,5
24,REGULAR_CAREER,220814,L. Hernández,84,CB,LB,27,France,Paris Saint Germain,Ligue 1,Left,76,54,70,70,84,78,,DEF,STRONG,5
24,REGULAR_CAREER,239301,L. Martínez,84,CB,,25,Argentina,Manchester United,Premier League,Left,73,59,78,79,85,83,,DEF,STRONG,5
24,REGULAR_CAREER,222492,L. Sané,84,RM,LM,27,Germany,FC Bayern München,Bundesliga,Left,91,81,80,85,38,68,,MID,STRONG,5
24,REGULAR_CAREER,198706,Luis Alberto,84,CM,,30,Spain,Lazio,Serie A,Right,69,77,85,84,62,58,,MID,STRONG,5
24,REGULAR_CAREER,202556,M. Depay,84,CF,"LW, ST",29,Netherlands,Atlético Madrid,La Liga,Right,82,82,81,85,30,80,,ATT,STRONG,5
24,REGULAR_CAREER,241852,M. Diaby,84,RM,LM,23,France,Aston Villa,Premier League,Left,95,73,75,86,42,59,,MID,STRONG,5
24,REGULAR_CAREER,207862,M. Ginter,84,CB,,29,Germany,SC Freiburg,Bundesliga,Right,60,59,71,66,85,80,,DEF,STRONG,5
24,REGULAR_CAREER,232363,M. Škriniar,84,CB,,28,Slovakia,Paris Saint Germain,Ligue 1,Right,78,41,57,67,86,83,,DEF,STRONG,5
24,REGULAR_CAREER,226161,Marcos Llorente,84,RM,"CM, RB",28,Spain,Atlético Madrid,La Liga,Right,89,78,79,80,78,81,,MID,STRONG,5
24,REGULAR_CAREER,225193,Mikel Merino,84,CM,"CAM, LM",27,Spain,Real Sociedad,La Liga,Left,72,78,82,82,83,82,,MID,STRONG,5
24,REGULAR_CAREER,203841,N. Pope,84,GK,,31,England,Newcastle United,Premier League,Right,,,,,,,,GK,STRONG,5
24,REGULAR_CAREER,212190,N. Süle,84,CB,RB,27,Germany,Borussia Dortmund,Bundesliga,Right,73,51,68,62,85,85,,DEF,STRONG,5
24,REGULAR_CAREER,185122,P. Gulácsi,84,GK,,33,Hungary,RB Leipzig,Bundesliga,Right,,,,,,,,GK,STRONG,5
24,REGULAR_CAREER,213648,P. Højbjerg,84,CDM,CM,27,Denmark,Tottenham Hotspur,Premier League,Right,55,73,78,78,81,82,,MID,STRONG,5
24,REGULAR_CAREER,212616,R. De Paul,84,CM,,29,Argentina,Atlético Madrid,La Liga,Right,78,77,83,82,75,83,,MID,STRONG,5
24,REGULAR_CAREER,238074,R. James,84,RB,RWB,23,England,Chelsea,Premier League,Right,80,72,83,82,82,81,,DEF,STRONG,5
24,REGULAR_CAREER,237679,R. Kolo Muani,84,ST,RM,24,France,Paris Saint Germain,Ligue 1,Right,91,78,73,86,38,67,,ATT,STRONG,5
24,REGULAR_CAREER,192505,R. Lukaku,84,ST,,30,Belgium,Roma,Serie A,Left,80,84,74,77,38,82,,ATT,STRONG,5
24,REGULAR_CAREER,233419,Raphinha,84,RW,,26,Brazil,FC Barcelona,La Liga,Left,91,79,78,86,53,73,,ATT,STRONG,5
24,REGULAR_CAREER,224293,Rúben Neves,84,CDM,CM,26,Portugal,Al Hilal,Pro League,Right,60,75,86,77,76,73,,MID,STRONG,5
24,REGULAR_CAREER,206113,S. Gnabry,84,RM,"ST, LM",27,Germany,FC Bayern München,Bundesliga,Right,81,84,78,84,43,68,,MID,STRONG,5
24,REGULAR_CAREER,216435,S. Lobotka,84,CM,CDM,28,Slovakia,Napoli,Serie A,Right,71,70,81,83,77,75,,MID,STRONG,5
24,REGULAR_CAREER,189596,T. Müller,84,CAM,"CF, ST",33,Germany,FC Bayern München,Bundesliga,Right,59,82,83,79,55,69,,MID,STRONG,5
24,REGULAR_CAREER,189509,Thiago,84,CM,,32,Spain,Liverpool,Premier League,Right,61,72,86,89,71,67,,MID,STRONG,5
24,REGULAR_CAREER,164240,Thiago Silva,84,CB,,38,Brazil,Chelsea,Premier League,Right,51,54,74,72,87,74,,DEF,STRONG,5
24,REGULAR_CAREER,208418,Y. Carrasco,84,LW,LWB,29,Belgium,Al Shabab,Pro League,Right,88,81,80,85,59,66,,ATT,STRONG,5
24,REGULAR_CAREER,177683,Y. Sommer,84,GK,,34,Switzerland,Inter,Serie A,Right,,,,,,,,GK,STRONG,5
24,REGULAR_CAREER,227127,Álex Remiro,84,GK,,28,Spain,Real Sociedad,La Liga,Right,,,,,,,,GK,STRONG,5
24,REGULAR_CAREER,213661,A. Christensen,83,CB,,27,Denmark,FC Barcelona,La Liga,Right,67,32,68,71,85,76,,DEF,GOOD,2
24,REGULAR_CAREER,234396,A. Davies,83,LB,LM,22,Canada,FC Bayern München,Bundesliga,Left,95,66,78,84,74,77,,DEF,GOOD,2
24,REGULAR_CAREER,193301,A. Lacazette,83,ST,,32,France,Olympique Lyonnais,Ligue 1,Right,72,84,77,83,44,77,,ATT,GOOD,2
24,REGULAR_CAREER,225116,A. Meret,83,GK,,26,Italy,Napoli,Serie A,Left,,,,,,,,GK,GOOD,2
24,REGULAR_CAREER,210413,A. Romagnoli,83,CB,,28,Italy,Lazio,Serie A,Left,69,40,56,69,85,80,,DEF,GOOD,2
24,REGULAR_CAREER,227236,A. Zambo Anguissa,83,CDM,CM,27,Cameroon,Napoli,Serie A,Right,78,68,72,81,81,86,,MID,GOOD,2
24,REGULAR_CAREER,226851,B. Pavard,83,CB,RB,27,France,Inter,Serie A,Right,70,62,73,72,85,78,,DEF,GOOD,2
24,REGULAR_CAREER,224179,Borja Iglesias,83,ST,,30,Spain,Real Betis,La Liga,Right,69,84,66,76,40,82,,ATT,GOOD,2
24,REGULAR_CAREER,190460,C. Eriksen,83,CM,CDM,31,Denmark,Manchester United,Premier League,Right,59,77,89,81,51,53,,MID,GOOD,2
24,REGULAR_CAREER,242516,C. Gakpo,83,CF,LW,24,Netherlands,Liverpool,Premier League,Right,85,82,78,84,42,73,,ATT,GOOD,2
24,REGULAR_CAREER,246430,D. Vlahović,83,ST,,23,Serbia,Juventus,Serie A,Left,80,85,66,79,29,82,,ATT,GOOD,2
24,REGULAR_CAREER,244260,Dani Olmo,83,CAM,CF,25,Spain,RB Leipzig,Bundesliga,Right,68,76,82,86,50,59,,MID,GOOD,2
24,REGULAR_CAREER,208333,E. Can,83,CDM,CB,29,Germany,Borussia Dortmund,Bundesliga,Right,79,78,77,79,82,87,,MID,GOOD,2
24,REGULAR_CAREER,180930,E. Džeko,83,ST,,37,Bosnia and Herzegovina,Fenerbahçe,Super Lig,Right,59,84,72,77,45,76,,ATT,GOOD,2
24,REGULAR_CAREER,247090,E. Fernández,83,CM,CDM,22,Argentina,Chelsea,Premier League,Right,73,73,81,80,75,79,,MID,GOOD,2
24,REGULAR_CAREER,199845,F. Acerbi,83,CB,,35,Italy,Inter,Serie A,Left,60,50,64,64,86,80,,DEF,GOOD,2
24,REGULAR_CAREER,208574,F. Kostić,83,LM,LW,30,Serbia,Juventus,Serie A,Left,85,76,82,82,70,80,,MID,GOOD,2
24,REGULAR_CAREER,229582,G. Mancini,83,CB,,27,Italy,Roma,Serie A,Right,67,45,54,62,83,86,,DEF,GOOD,2
24,REGULAR_CAREER,225659,G. Rodríguez,83,CDM,,28,Argentina,Real Betis,La Liga,Right,51,58,72,70,85,80,,MID,GOOD,2
24,REGULAR_CAREER,264240,Gavi,83,CM,LW,18,Spain,FC Barcelona,La Liga,Right,76,66,78,85,68,70,,MID,GOOD,2
24,REGULAR_CAREER,208093,Gerard Moreno,83,ST,RM,31,Spain,Villarreal,La Liga,Left,77,85,77,81,46,72,,ATT,GOOD,2
24,REGULAR_CAREER,167948,H. Lloris,83,GK,,36,France,Tottenham Hotspur,Premier League,Left,,,,,,,,GK,GOOD,2
24,REGULAR_CAREER,253149,J. Frimpong,83,RWB,RM,22,Netherlands,Bayer 04 Leverkusen,Bundesliga,Right,94,56,75,84,74,70,,DEF,GOOD,2
24,REGULAR_CAREER,216460,J. Giménez,83,CB,,28,Uruguay,Atlético Madrid,La Liga,Right,71,46,58,61,85,82,,DEF,GOOD,2
24,REGULAR_CAREER,210324,J. Hofmann,83,CAM,"RM, LM",30,Germany,Bayer 04 Leverkusen,Bundesliga,Right,76,79,83,81,64,73,,MID,GOOD,2
24,REGULAR_CAREER,189332,Jordi Alba,83,LB,,34,Spain,Inter Miami,Major League Soccer,Left,84,70,82,81,76,70,,DEF,GOOD,2
24,REGULAR_CAREER,205498,Jorginho,83,CDM,CM,31,Italy,Arsenal,Premier League,Right,53,67,84,81,74,73,,MID,GOOD,2
24,REGULAR_CAREER,225375,K. Laimer,83,CDM,CM,26,Austria,FC Bayern München,Bundesliga,Right,80,69,77,78,81,79,,MID,GOOD,2
24,REGULAR_CAREER,228251,L. Pellegrini,83,CAM,"CM, CF",27,Italy,Roma,Serie A,Right,79,76,83,83,74,78,,MID,GOOD,2
24,REGULAR_CAREER,205988,L. Shaw,83,LB,CB,27,England,Manchester United,Premier League,Left,76,57,82,79,81,78,,DEF,GOOD,2
24,REGULAR_CAREER,216352,M. Brozović,83,CDM,CM,30,Croatia,Al Nassr,Pro League,Right,66,74,81,80,80,78,,MID,GOOD,2
24,REGULAR_CAREER,178603,M. Hummels,83,CB,,34,Germany,Borussia Dortmund,Bundesliga,Right,53,58,76,70,86,78,,DEF,GOOD,2
24,REGULAR_CAREER,188350,M. Reus,83,CAM,CF,34,Germany,Borussia Dortmund,Bundesliga,Right,65,83,83,85,53,63,,MID,GOOD,2
24,REGULAR_CAREER,220834,Marco Asensio,83,RW,,27,Spain,Paris Saint Germain,Ligue 1,Left,81,81,81,83,43,63,,ATT,GOOD,2
24,REGULAR_CAREER,201153,Morata,83,ST,,30,Spain,Atlético Madrid,La Liga,Right,82,82,72,79,31,79,,ATT,GOOD,2
24,REGULAR_CAREER,216594,N. Fekir,83,CAM,,29,France,Real Betis,La Liga,Left,82,81,81,86,39,80,,MID,GOOD,2
24,REGULAR_CAREER,247819,N. Schlotterbeck,83,CB,,23,Germany,Borussia Dortmund,Bundesliga,Left,78,58,67,73,85,82,,DEF,GOOD,2
24,REGULAR_CAREER,200724,Nacho Fernández,83,CB,"LB, RB",33,Spain,Real Madrid,La Liga,Right,75,37,69,71,82,80,,DEF,GOOD,2
24,REGULAR_CAREER,230142,Oyarzabal,83,LM,"RM, LW",26,Spain,Real Sociedad,La Liga,Left,77,83,80,83,41,62,,MID,GOOD,2
