player_id,name,overall,position,club,rarity,version,reason
268781,Pedro Miguel,68,"RB, CB",,,24.0,Missing normal club or league
270564,A. Asad,68,"CAM, RM, LM",,,24.0,Missing normal club or league
268783,M. Barsham,67,GK,,,24.0,Missing normal club or league
268782,B. Al Rawi,67,"CB, RB",,,24.0,Missing normal club or league
248040,A. Rus,67,"CB, CDM",,,24.0,Missing normal club or league
234298,N. Alho,67,"RB, RWB, RM",,,24.0,Missing normal club or league
268879,A. Fathi,67,"CDM, CM",,,24.0,Missing normal club or league
255360,M. Garbett,66,"CAM, CM",,,24.0,Missing normal club or league
246704,E. Ólafsson,66,GK,,,24.0,Missing normal club or league
254136,E. Just,66,"LW, CF",,,24.0,Missing normal club or league
238878,T. Salman,66,"CB, LB",,,24.0,Missing normal club or league
227603,P. Kpozo,66,LB,,,24.0,Missing normal club or league
243256,O. Pikhalyonok,66,CM,,,24.0,Missing normal club or league
204445,M. Smith,66,"RB, RWB, CB",,,24.0,Missing normal club or league
227499,P. Stronati,66,CB,,,24.0,Missing normal club or league
268780,M. Muntari,66,ST,,,24.0,Missing normal club or league
236449,K. Csoboth,65,"RW, LW",,,24.0,Missing normal club or league
268836,E. Addo,65,CDM,,,24.0,Missing normal club or league
272472,S. Zakaria,65,GK,,,24.0,Missing normal club or league
274968,P. Demjén,65,GK,,,24.0,Missing normal club or league
239878,A. Madibo,65,"CDM, CM",,,24.0,Missing normal club or league
180548,S. Al Sheeb,65,GK,,,24.0,Missing normal club or league
231056,S. Marinović,65,GK,,,24.0,Missing normal club or league
268099,P. Szappanos,65,GK,,,24.0,Missing normal club or league
268779,A. Alaaeldin,65,ST,,,24.0,Missing normal club or league
268784,M. Kheder,65,"RB, CB",,,24.0,Missing normal club or league
268775,M. Waad,64,"CDM, CB",,,24.0,Missing normal club or league
275644,G. Szalai,64,CB,,,24.0,Missing normal club or league
226510,D. Grétarsson,64,CB,,,24.0,Missing normal club or league
270643,K. Muneer,64,LM,,,24.0,Missing normal club or league
186839,N. McGinn,64,"CAM, LM",,,24.0,Missing normal club or league
237268,F. de Vries,64,"LB, CB",,,24.0,Missing normal club or league
268984,A. Marafee,64,CM,,,24.0,Missing normal club or league
246195,C. Elliot,63,RB,,,24.0,Missing normal club or league
257630,K. Horváth,62,CAM,,,24.0,Missing normal club or league
268982,J. Gaber,62,"CB, CDM",,,24.0,Missing normal club or league
276156,S. Szuhodovszki,62,CM,,,24.0,Missing normal club or league
268785,S. Al Hajri,62,"CDM, CB",,,24.0,Missing normal club or league
226057,D. Wynne,62,LB,,,24.0,Missing normal club or league
278113,M. Kata,61,"CM, CDM",,,24.0,Missing normal club or league
272471,M. Tarek,60,CM,,,24.0,Missing normal club or league
274923,N. Pallas,60,"LB, LWB",,,24.0,Missing normal club or league
